Anchor Word
Lumos Solem Spell
Muffliato Charm
Wand-Extinguishing Charm
Memory Charm
Oculus Reparo
Oppugno Jinx
Peskipiksi Pesternomi
Full Body-Bind Curse
Piertotum Locomotor
Portus
Reverse Spell
Shield Charm
Protego Maxima
Protego totalum
Shrinking Charm
Revulsion Jinx
Mending Charm
Repello Inimicum
Muggle-Repelling Charm
Revelio Charm
Tickling Charm
Boggart-Banishing Spell
Salvio hexia
Sectumsempra
Snake Summons Spell
Stunning Spell
Vera Verto
Snake-Vanishing Spell
Levitation Charm
Doorstep Delivery
The Vanishing Glass
Letters from No One
Keeper of the Keys
Diagon Alley
Gringotts
Ollivanders
The Boy Who Lived
Platform 9&
Ron and Hermione
Welcome to Hogwarts
The Sorting Hat
Nick and Other Residents
Potions and Parcels
New Seeker
Three-Headed Sentinel
Facts and Feathers
Mountain Troll
Quidditch
Interference Overcome
Christmas Gift
Cloaked in darkness
The Mirror of Erised
Norbert
The Forbidden Forest
Up to Something
Through the Trapdoor
Wizard's Chess
Sacrifice Play
Man With Two Faces
Magic Touch
Mark of Love
House Cup Winner
Not Really Going Home
In a Cage
Dobby's Warning
Car Rescue
The Burrow
To Diagon Alley
Flourish and Blotts
Flying to Hogwarts
Whomping Willow
Not Expelled... Today
Mandrakes; Ron's Howler
Gilderoy Lockhart
Mudbloods and Murmurs
Writing on the Wall
About the Chamber
Rogue Bludger
No Longer Safe
Dueling Club
A Parselmouth
Nothing to Tell
Polyjuice Potion
Harry and Ron Transformed
The Diary
Tom Riddle
Petrified
Cornelius Fudge
Aragog
Spider Attack
Missing
Chamber of Secrets
Backfire
Heir of Slytherin
The Basilisk
Healing Powers
Out Of The Hat
Dobby's Reward
Welcome Back
Under Covers Prologue
Aunt Marge's Big Mistake
The Knight Bus
The Leaky Cauldron
In Grave Danger
The Dementor
Welcome and Warning
Tea Leaves
Buckbeak
Boggart in the Wardrobe
Talent for Trouble
Flight of the Fat Lady
Substitute Teacher
Grim Defeat
The Marauder's Map
Who's There?
I Hope He Finds Me
The Patronus
Seeing the Impossible
Professor Trelawney's Prediction
Witnesses to an Execution
The Whomping Willow
Sirius Black
Peter Pettigrew
Friends Become Foes
The Dementor's Kiss
Hermione's Secret
Onlookers to the Rescue
Saving Lives
"Truly Seen, Truly Free"
Two Places at Once
Mischief Managed
The Firebolt
The Riddle House
The Portkey
The Quidditch World Cup
The Dark Mark
The Triwizard Tournament
The Unforgivable Curses
The Four Champions
Let Events Unfold
Rita Skeeter
Sirius Conversation
The Hungarian Horntail
Transforming Malfoy
The First Task
Best Foot Forward
An Unexpected Challenge
The Yule Ball
The Egg's Clue
The Second Task
Never Whole Again
The Pensieve
Dreams and Suspicions
The Third Task
"Flesh, Blood and Bone"
The Death Eaters
Priori Incantatem
Veritaserum
Parting Ways
Dudley Demented
The Advance Guard
"Number Twelve, Grimmauld Place"
The Order of the Phoenix
The Ministry of Magic
The Hearing
The Originals
Luna Lovegood
"Preserve, Perfect and Prune"
Professor Umbridge's Class
Detention With Dolores
The Hogwarts High Inquisitor
In the Hog's Head
Dumbledore's Army
Hagrid's Tale
Occlumency
Unquiet Escape
Grawp
Snape's Worst Memory
Out of the Fire
Fight and Flight
The Department of Mysteries
Beyond the Veil
Side by Side
Wizards Duel
The Lost Prophecy
A Way of Coming Back
Snape's Visitors
Who's Harry Potter?
Horace Slughorn
What Could Be Safer?
That's For My Father
Dark Forces
The Half Blood Prince
The Secret Riddle
Hermione's Helping Hand
Cursed Necklace
Slug Club
Felix Felicis
How It Feels
Free Agents
The Unbreakable Vow
Death Eaters Attack
Sluggish Memory
Perilous Potions
Sectumsempra
Hiding the Book
Liquid Luck
After Aragog's Burial
Horcruxes
The Astronomy Tower
Flight of the Prince
R.A.B.
Dark Times
Dark Lord Ascending
The Seven Potters
Aerial Ambush
Fallen Warrior
Dumbledore's Will
The Wedding
Place to Hide
Kreacher's Tale
Theft of a Thief
Ministry Interior
Forest Fugitives
Getting Too Close
Broken Ranks
Clues Revealed
Godric's Hollow
Bathilda's Secret
Sword of Gryffindor
Lighting the Way Back
The Three Brothers
The Deathly Hallows
Snatchers Strike
Malfoy Manor
Dobby Has No Master
Sleeping Friend
Shell Cottage
Griphook's Price
He's After You
Copping the Cup
Exit the Dragon
Final Hiding Place
Aberforth Dumbledore
Hogwarts Reunion
Give Me Harry Potter
Duty To Our School
You Need Only Ask
Blow For Blow
Finding the Diadem
Fiendfyre
He Will Come To Me
Your Mother's Eyes
Confront Your Fate
I Open At the Close
King's Cross
Declare Yourself
Not Over
The Wand's Choice
The Wizard's Choice
Nineteen Years Later
